,ID,centroid_x,centroid_y,xmin,ymin,xmax,ymax,area,bbox_area,convex_area,filled_area,eccentricity,equivalent_diameter,orientation,perimeter,solidity,D__weighted_centroid_x,D__weighted_centroid_y,D__Sum,D__Mean,D__Max,D__Area,D__Variance,D__Entropy,D__Skew,D__Centroid_Shift,D__AreaPerc,H__weighted_centroid_x,H__weighted_centroid_y,H__Sum,H__Mean,H__Max,H__Area,H__Variance,H__Entropy,H__Skew,H__Centroid_Shift,H__AreaPerc,DPH__weighted_centroid_x,DPH__weighted_centroid_y,DPH__Sum,DPH__Mean,DPH__Max,DPH__Area,DPH__Variance,DPH__Entropy,DPH__Skew,DPH__Centroid_Shift,DPH__AreaPerc,score,class
0,1,121,81,110,68,133,96,497,644,514,497,0.6496620505940903,25.15551736167189,1.3779953329749723,83.59797974644665,0.9669260700389105,121.20462369704504,80.99948599024577,83656,168.32193158953723,255,497,0.7716134322936103,6.075972008255029,-0.009101440578874352,0.14365923459531427,1.0,121.20462369704504,80.99948599024577,83656,168.32193158953723,255,497,0.7716134322936103,6.075972008255029,-0.009101440578874352,0.14365923459531427,1.0,121.20462369704504,80.99948599024577,83656,168.32193158953723,255,497,0.7716134322936103,6.075972008255029,-0.009101440578874352,0.14365923459531427,1.0,0.9984276294708252,1
1,2,92,247,84,238,101,258,262,340,270,262,0.584521926895194,18.26441241104166,1.4117331181203343,58.2842712474619,0.9703703703703703,92.24335378323109,246.68521592686153,41565,158.64503816793894,255,262,0.7657962392978396,5.445456601627592,0.062281561059503346,0.4962144095417569,1.0,92.24335378323109,246.68521592686153,41565,158.64503816793894,255,262,0.7657962392978396,5.445456601627592,0.062281561059503346,0.4962144095417569,1.0,92.24335378323109,246.68521592686153,41565,158.64503816793894,255,262,0.7657962392978396,5.445456601627592,0.062281561059503346,0.4962144095417569,1.0,0.998299777507782,1
2,3,452,273,443,263,463,286,362,460,373,362,0.5024317316030033,21.468877828012552,1.4292027548444524,69.11269837220809,0.9705093833780161,452.29591522095456,273.67867053993086,61619,170.21823204419888,255,362,0.709731847805331,5.789839045092073,-0.11490506814882766,0.3710966208307789,1.0,452.29591522095456,273.67867053993086,61619,170.21823204419888,255,362,0.709731847805331,5.789839045092073,-0.11490506814882766,0.3710966208307789,1.0,452.29591522095456,273.67867053993086,61619,170.21823204419888,255,362,0.709731847805331,5.789839045092073,-0.11490506814882766,0.3710966208307789,1.0,0.9982815980911255,1
3,4,11,311,3,303,21,321,266,324,272,266,0.4538438302313263,18.403307281560924,0.8374655036626858,58.04163056034261,0.9779411764705882,11.378398236590742,311.1096882544348,38108,143.26315789473685,255,266,0.7079387635728737,5.460644660341707,0.10157637694555527,0.4455402038581069,1.0,11.378398236590742,311.1096882544348,38108,143.26315789473685,255,266,0.7079387635728737,5.460644660341707,0.10157637694555527,0.4455402038581069,1.0,11.378398236590742,311.1096882544348,38108,143.26315789473685,255,266,0.7079387635728737,5.460644660341707,0.10157637694555527,0.4455402038581069,1.0,0.9981542229652405,1
4,5,52,411,41,403,65,422,361,456,370,361,0.6255935091956121,21.43920417481474,0.27535500729993595,69.11269837220809,0.9756756756756757,52.41732925216887,411.93324036006015,55213,152.94459833795014,255,361,0.7908078650574493,5.730825423907035,0.16377542146468424,0.026856589048049575,1.0,52.41732925216887,411.93324036006015,55213,152.94459833795014,255,361,0.7908078650574493,5.730825423907035,0.16377542146468424,0.026856589048049575,1.0,52.41732925216887,411.93324036006015,55213,152.94459833795014,255,361,0.7908078650574493,5.730825423907035,0.16377542146468424,0.026856589048049575,1.0,0.9981145858764648,1
5,6,370,224,360,213,382,238,441,550,449,441,0.5960971530270168,23.695962509005764,1.0891243399637203,75.94112549695429,0.9821826280623608,370.09111233184717,224.3453888115283,78277,177.49886621315193,255,441,0.7126969406038851,5.963927764614134,-0.20816482077007017,0.7191298041511409,1.0,370.09111233184717,224.3453888115283,78277,177.49886621315193,255,441,0.7126969406038851,5.963927764614134,-0.20816482077007017,0.7191298041511409,1.0,370.09111233184717,224.3453888115283,78277,177.49886621315193,255,441,0.7126969406038851,5.963927764614134,-0.20816482077007017,0.7191298041511409,1.0,0.9980930685997009,1
6,7,204,303,193,291,218,316,496,625,506,496,0.28947447960738354,25.13019725725687,1.0247787577591698,80.76955262170047,0.9802371541501976,204.8028999674161,302.7094927772347,92070,185.625,255,496,0.7226737226465587,6.07875628273197,-0.25620958465163907,0.328878488647196,1.0,204.8028999674161,302.7094927772347,92070,185.625,255,496,0.7226737226465587,6.07875628273197,-0.25620958465163907,0.328878488647196,1.0,204.8028999674161,302.7094927772347,92070,185.625,255,496,0.7226737226465587,6.07875628273197,-0.25620958465163907,0.328878488647196,1.0,0.9980394244194031,1
7,8,410,390,402,379,420,401,310,396,319,310,0.6167628305409955,19.867165345562018,-1.2865980006829036,64.2842712474619,0.9717868338557993,410.38142964258935,389.4182704323919,40010,129.06451612903226,255,310,0.8205819234353127,5.563612718041123,0.2927040886902723,0.6966513056619417,1.0,410.38142964258935,389.4182704323919,40010,129.06451612903226,255,310,0.8205819234353127,5.563612718041123,0.2927040886902723,0.6966513056619417,1.0,410.38142964258935,389.4182704323919,40010,129.06451612903226,255,310,0.8205819234353127,5.563612718041123,0.2927040886902723,0.6966513056619417,1.0,0.9978826642036438,1
8,9,28,287,15,277,43,299,477,616,491,477,0.5805981131816692,24.64417299969047,-0.21317630571192706,80.76955262170047,0.9714867617107943,28.887607216799765,286.99665650759357,77763,163.0251572327044,255,477,0.7802128888411966,6.023722213550771,0.0064672982550709225,0.48364861818187566,1.0,28.887607216799765,286.99665650759357,77763,163.0251572327044,255,477,0.7802128888411966,6.023722213550771,0.0064672982550709225,0.48364861818187566,1.0,28.887607216799765,286.99665650759357,77763,163.0251572327044,255,477,0.7802128888411966,6.023722213550771,0.0064672982550709225,0.48364861818187566,1.0,0.9977549910545349,1
9,10,419,433,406,415,434,451,782,1008,798,782,0.6596078047085429,31.554291688816235,-1.2712069305880136,103.49747468305833,0.9799498746867168,420.1963933353734,432.81003281663834,94769,121.18797953964194,255,782,0.8063426978876885,6.511694867449542,0.37627833766425073,0.4894131706281397,1.0,420.1963933353734,432.81003281663834,94769,121.18797953964194,255,782,0.8063426978876885,6.511694867449542,0.37627833766425073,0.4894131706281397,1.0,420.1963933353734,432.81003281663834,94769,121.18797953964194,255,782,0.8063426978876885,6.511694867449542,0.37627833766425073,0.4894131706281397,1.0,0.9976664781570435,1
